icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
cloudy,0.0008,25.5,0.99,261.4,10.0,0.72,343.0,rain,1033.0,20.75,34.92,2018-11-13 06:00:00,0.0087,14.49,0.0,0.02,Overcast,26.69,dallas,2018-11-13 06:00:00,6889.741016949152,NCEN,6,1,Tuesday,11,November,2018,Fall,Morning,46,1,False
clear-night,0.0,26.46,0.11,277.7,10.0,0.42,344.0,rain,1029.9,10.43,32.51,2019-03-05 01:00:00,0.0087,6.49,0.0,0.0,Clear,11.81,dallas,2019-03-05 01:00:00,7126.32712168837,NCEN,1,1,Tuesday,3,March,2019,Spring,Night,10,1,False
partly-cloudy-day,0.0059,101.24,0.34,311.5,10.0,0.63,169.0,rain,1013.2,16.79,90.0,2019-07-04 19:00:00,0.0087,13.26,9.0,0.05,Humid and Partly Cloudy,75.56,dallas,2019-07-04 19:00:00,19181.0,NCEN,19,3,Thursday,7,July,2019,Summer,Evening,27,-1,True
cloudy,0.0053,75.04,0.98,252.0,9.845,0.68,175.0,rain,999.4,17.85,74.66,2019-11-26 20:00:00,0.0087,11.06,2.0,0.09,Overcast,63.55,dallas,2019-11-26 20:00:00,11979.0,NCEN,20,1,Tuesday,11,November,2019,Fall,Evening,48,1,False
cloudy,0.0016,45.55,1.0,229.6,10.0,0.89,57.0,rain,1022.9,8.46,47.65,2019-11-29 08:00:00,0.0087,4.85,0.0,0.1,Overcast,44.59,dallas,2019-11-29 08:00:00,11432.0,NCEN,8,4,Friday,11,November,2019,Fall,Morning,48,1,False
partly-cloudy-night,0.0013,64.25,0.69,272.5,10.0,0.35,177.0,rain,1012.1,26.6,64.25,2020-02-03 04:00:00,0.0087,11.15,0.0,0.01,Mostly Cloudy,36.29,dallas,2020-02-03 04:00:00,8486.0,NCEN,4,0,Monday,2,February,2020,Winter,Night,6,1,False
clear-night,0.0,60.68,0.25,285.4,10.0,0.48,106.0,rain,1020.8,5.02,60.68,2019-03-22 05:00:00,0.0087,3.01,0.0,0.0,Clear,40.98,dallas,2019-03-22 05:00:00,6608.794767704105,NCEN,5,4,Friday,3,March,2019,Spring,Morning,12,1,False
clear-night,0.0,86.34,0.02,296.7,9.997,0.57,122.0,rain,1013.5,6.72,83.66,2018-07-04 04:00:00,0.0087,6.72,0.0,0.0,Clear,67.03,dallas,2018-07-04 04:00:00,6550.273116824537,NCEN,4,2,Wednesday,7,July,2018,Summer,Night,27,1,False
clear-day,0.0,56.11,0.0,316.4,10.0,0.75,275.0,rain,1020.0,1.99,56.11,2020-04-30 12:00:00,0.0087,1.7,0.0,0.0,Clear,48.33,dallas,2020-04-30 12:00:00,11106.0,NCEN,12,3,Thursday,4,April,2020,Spring,Afternoon,18,1,False
clear-night,0.0,70.72,0.0,309.7,10.0,0.74,173.0,rain,1015.3,9.41,70.48,2019-05-16 07:00:00,0.0087,5.18,0.0,0.0,Clear,61.9,dallas,2019-05-16 07:00:00,7331.344158773117,NCEN,7,3,Thursday,5,May,2019,Spring,Morning,20,1,False
